名次,国家,GDP
1,美国,23.04
2,中国,17.73
3,日本,5.01
4,德国,4.2
5,英国,3.2
6,印度,3.07
7,法国,2.92
8,意大利,2.12
9,加拿大,2.02
10,韩国,1.8
